date,city,temperature (C)
2023-07-20,San Diego,23.7
2023-05-19,Austin,
2023-04-27,,35.9
2023-07-03,New York,24.9
2023-06-02,New York,2.5
2023-12-21,New York,1.7
2023-11-21,Austin,6.7
2023-08-19,,30.9
2023-01-10,,12.0
2023-09-08,Austin,36.5
2023-07-10,Phoenix,8.1
2023-08-31,New York,1.2
2023-12-21,Phoenix,
2023-04-17,,10.9
2023-07-23,Austin,38.3
2023-02-20,New York,19.6
2023-06-26,Austin,26.1
,Austin,13.5
2023-10-26,New York,9.0
2023-03-19,Austin,19.4
2023-09-20,Seattle,
2023-03-13,New York,28.1
2023-09-22,Seattle,2.4
2023-03-23,Seattle,21.8
2023-04-25,New York,14.9
,New York,19.3
2023-07-20,Austin,3.6
2023-07-05,Austin,30.1
2023-05-13,San Diego,
2023-07-11,Phoenix,3.8
2023-02-23,Phoenix,4.9
2023-09-24,New York,38.5
2023-02-26,Phoenix,9.7
2023-12-24,Phoenix,2.7
2023-02-21,Austin,7.3
2023-05-01,San Diego,19.5
2023-11-24,New York,32.3
2023-05-29,New York,0.7
2023-07-01,New York,39.9
2023-04-17,Seattle,16.4
2023-03-15,San Diego,26.8
2023-07-06,Phoenix,6.0
2023-08-03,New York,25.9
2023-12-16,New York,28.6
2023-04-29,Phoenix,
2023-08-13,Seattle,16.8
2023-11-10,Austin,39.8
2023-02-25,San Diego,31.4
2023-07-12,San Diego,37.8
2023-06-02,Austin,13.6
2023-10-29,New York,9.6
2023-11-27,Seattle,16.8
2023-06-14,Austin,20.3
2023-01-16,New York,30.0
2023-12-26,Phoenix,24.6
2023-08-05,San Diego,25.7
,Austin,
2023-07-24,Seattle,7.6
2023-11-27,Phoenix,13.2
2023-06-12,Phoenix,28.0
2023-09-15,Seattle,5.8
2023-03-28,Austin,9.8
2023-01-14,Phoenix,6.8
,Phoenix,29.7
2023-11-04,New York,4.5
2023-12-21,Seattle,27.8
,Phoenix,24.4
,New York,6.5
2023-05-17,Phoenix,1.3
2023-12-11,New York,19.3
2023-10-25,Seattle,12.7
2023-07-13,Austin,27.3
2023-06-16,,28.0
2023-07-05,Seattle,26.4
,Austin,37.6
2023-10-14,Phoenix,28.6
2023-12-04,Phoenix,36.4
2023-04-15,Seattle,9.1
2023-02-13,Austin,16.1
2023-06-07,Austin,13.9
,Seattle,37.6
2023-09-11,Seattle,
2023-06-25,Austin,16.0
,San Diego,4.2
2023-05-11,Phoenix,18.7
2023-09-02,Austin,3.2
2023-05-16,Phoenix,26.8
2023-03-19,Seattle,11.7
2023-01-29,San Diego,2.7
2023-12-24,New York,11.1
2023-01-31,New York,
2023-05-15,New York,19.2
2023-03-08,Phoenix,3.6
2023-04-19,Phoenix,23.9
2023-05-08,,8.1
2023-02-04,Austin,22.9
2023-09-11,Austin,
2023-01-19,Seattle,10.5
2023-08-03,San Diego,4.4
2023-09-29,Seattle,3.6
,New York,24.8
2023-05-11,Austin,26.2
2023-11-02,San Diego,3.7
2023-07-11,Seattle,4.0
2023-05-12,Seattle,23.6
2023-04-30,New York,30.0
2023-10-19,Seattle,
2023-04-16,New York,32.0
2023-07-31,,34.1
2023-03-21,New York,34.3
2023-11-10,Phoenix,22.1
2023-06-29,San Diego,
2023-03-23,Phoenix,39.1
2023-01-25,Seattle,26.6
2023-04-04,Seattle,28.7
2023-05-17,Phoenix,34.8
2023-05-13,,11.6
2023-05-06,Austin,31.3
2023-02-13,Seattle,
2023-10-23,New York,20.6
2023-10-23,San Diego,17.5
2023-06-11,Austin,7.9
2023-03-10,Phoenix,19.5
2023-08-26,Austin,15.1
2023-11-16,Phoenix,32.4
,New York,
2023-08-30,New York,
2023-06-28,New York,27.9
2023-07-10,New York,11.6
2023-10-15,Phoenix,38.2
,Seattle,
,New York,
2023-02-20,Seattle,14.7
2023-10-28,Austin,5.5
2023-10-28,Seattle,22.5
2023-09-17,San Diego,17.5
2023-05-06,Phoenix,34.4
2023-01-29,Phoenix,20.2
2023-07-15,Phoenix,30.2
2023-07-06,New York,
,Seattle,1.0
2023-07-16,New York,5.6
2023-09-27,Phoenix,12.3
2023-12-08,Phoenix,19.8
2023-10-23,San Diego,11.4
2023-07-22,,28.3
,Austin,25.7
2023-04-21,Austin,26.3
2023-05-14,Seattle,18.9
2023-05-15,New York,9.3
2023-12-11,Seattle,31.5
2023-02-06,,23.6
2023-06-14,Seattle,12.1
2023-04-26,New York,6.5
2023-04-01,Austin,19.3
2023-01-07,Phoenix,28.9
2023-10-26,San Diego,31.3
2023-06-02,Austin,30.5
2023-12-09,Austin,28.0
2023-01-12,Phoenix,24.8
2023-11-18,,39.5
2023-10-12,New York,39.3
2023-01-16,,13.4
2023-12-31,Phoenix,26.3
2023-08-22,Phoenix,2.2
,San Diego,36.5
2023-04-27,San Diego,37.7
2023-08-08,New York,2.6
2023-10-31,San Diego,2.6
2023-02-11,Seattle,13.7
2023-08-07,San Diego,4.7
2023-03-09,New York,31.3
2023-03-19,Phoenix,10.7
2023-09-23,Phoenix,37.7
2023-11-29,Phoenix,22.9
2023-12-30,San Diego,12.2
2023-12-12,New York,25.6
2023-07-24,New York,30.8
2023-06-05,New York,6.7
2023-04-30,San Diego,35.3
2023-08-23,Austin,27.0
2023-08-07,San Diego,9.0
2023-01-25,Austin,3.7
2023-05-27,Phoenix,13.6
2023-09-28,Austin,30.1
2023-03-29,Seattle,29.1
2023-09-23,Phoenix,
2023-08-22,San Diego,25.5
2023-10-27,New York,28.4
2023-07-06,Austin,11.1
2023-06-15,,
2023-01-22,New York,38.0
,Phoenix,13.9
2023-10-16,New York,20.1
2023-05-02,Phoenix,16.3
2023-05-31,San Diego,
2023-08-04,Seattle,31.7
2023-09-23,Seattle,31.2
2023-10-19,Phoenix,37.9
2023-06-05,San Diego,
2023-04-14,Phoenix,22.4
2023-03-27,,31.0
2023-12-02,Seattle,33.4
2023-10-04,New York,4.4
2023-09-05,Phoenix,31.5
2023-08-29,Seattle,39.7
2023-09-04,Phoenix,28.3
2023-10-24,San Diego,10.0
2023-08-25,San Diego,
2023-02-10,,6.8
2023-07-26,,36.1
2023-12-17,New York,8.2
2023-06-30,Austin,
2023-05-03,San Diego,34.8
2023-08-09,Phoenix,36.6
2023-03-01,San Diego,17.4
2023-10-07,Austin,3.4
2023-04-21,Seattle,1.3
2023-09-12,New York,7.2
2023-10-02,,3.1
2023-12-15,San Diego,9.0
2023-11-08,Austin,31.2
2023-05-30,Seattle,19.8
2023-08-16,Austin,35.9
2023-09-29,Seattle,38.0
2023-04-10,Seattle,16.4
2023-08-22,New York,1.5
2023-08-14,,8.5
2023-02-03,Seattle,7.3
2023-06-26,New York,
,New York,
2023-05-21,Austin,33.6
2023-10-31,San Diego,35.8
2023-12-26,,24.4
2023-11-28,Seattle,13.4
2023-07-05,Seattle,7.7
2023-02-04,San Diego,12.6
2023-02-22,New York,10.4
2023-05-29,Phoenix,38.0
2023-09-07,Seattle,
2023-01-03,Seattle,
2023-05-18,Seattle,4.3
2023-08-26,San Diego,36.5
2023-11-20,San Diego,25.1
2023-05-13,Austin,35.5
2023-11-08,New York,24.9
2023-03-04,New York,3.6
,Austin,7.5
2023-09-09,Phoenix,25.9
2023-11-25,Phoenix,17.3
2023-09-10,Austin,
2023-10-06,Austin,4.4
2023-02-22,Seattle,30.8
2023-11-15,San Diego,14.3
2023-03-28,New York,33.3
2023-03-21,Austin,21.9
2023-09-06,Austin,8.2
2023-12-23,Austin,7.6
2023-01-26,San Diego,7.3
2023-04-04,,
2023-02-26,San Diego,17.5
2023-09-10,New York,29.7
2023-04-30,Seattle,2.3
,Phoenix,15.8
2023-01-02,San Diego,
,Seattle,6.0
,Phoenix,9.5
2023-11-23,Austin,4.8
2023-08-08,New York,
2023-09-21,Austin,15.9
2023-07-19,San Diego,27.8
2023-11-27,San Diego,23.3
2023-07-17,Seattle,24.7
2023-04-27,,
2023-01-07,Seattle,14.9
2023-05-08,Austin,24.6
2023-08-14,Seattle,11.1
2023-01-21,San Diego,28.2
2023-09-18,Austin,26.8
2023-06-02,Austin,8.9
,,36.8
2023-08-02,Seattle,4.3
2023-02-09,New York,
2023-12-26,Seattle,17.8
2023-08-19,San Diego,5.7
2023-01-23,New York,13.7
2023-05-14,San Diego,16.9
2023-09-30,,19.9
2023-05-06,New York,15.2
2023-05-29,Austin,23.2
2023-12-04,Austin,
2023-10-13,Phoenix,36.7
2023-04-30,San Diego,19.3
,Seattle,33.5
2023-04-17,San Diego,33.0
,Austin,22.4
2023-05-31,Austin,31.5
2023-09-02,New York,
2023-08-24,Austin,17.6
2023-09-15,,22.3
,Austin,
2023-04-17,Seattle,30.3
